SentenceId	View	Opinion
010132	凯越	pos
016600	途观	pos
016600	上汽大众	pos
016600	RAV4 荣放	neg
004975	双环	neu
004975	花冠	neu
004975	F3	neu
003383	Q5	pos
027107	锐界	neu
027107	楼兰	pos
027107	汉兰达	neu
027107	昂科威	neu
007505	逍客	pos
007505	劲炫	neg
007505	广汽三菱	neg
018852	BMW	pos
000275	丰田卡罗拉	neg
018382	秀尔	pos
012075	秀尔	neu
005187	秀尔	pos
011380	比亚迪f3	neu
009509	秀尔	pos
007513	长城M4	neg
007513	桑塔纳	neg
007513	马6	pos
007513	捷达	neg
007513	GA3	pos
001151	英朗	neu
001151	速腾	neu
001151	宝来	neg
001151	艾瑞泽	neu
001151	GA3	pos
001151	C4L	neu
019643	马自达6	pos
018972	东标	neg
024516	长安逸动	neg
023409	哈佛H3	neg
023409	宝马E90	neg
006776	C2	neu
006680	C2	neg
022495	PSA	pos
022495	C2	neg
023244	二系	pos
023244	x1	neu
023244	gla	neg
001110	520i	neg
013471	C2	pos
011399	晶锐	neg
011399	POLO	neg
011399	C2	pos
005584	C2	neg
018535	大宝	pos
026146	大宝	neu
000153	奥迪	pos
026858	比亚迪F0	neg
011260	F0	pos
017055	铃木	pos
024983	君越	neg
007796	桑塔纳	neu
007796	捷达	neu
024206	卡曼	pos
024206	奥迪	neg
024206	ATSL	pos
013686	奇瑞	neg
020627	奇瑞	pos
009473	艾瑞泽7	pos
009312	英朗	pos
009312	艾瑞泽7	neg
019627	宝马	pos
021754	标志301	neu
021754	爱丽舍	neu
018905	奔驰	pos
018905	奥迪	pos
019888	奔驰	pos
007397	汉兰达	neu
004997	X6	neg
013057	X6	neg
019463	众泰T600	neu
019463	宝骏560	neu
019463	X55	pos
005183	福克斯	neu
017734	凯美瑞	neu
002070	小博	neg
014790	翼搏	neu
027827	K5	neg
009198	K5	neg
009198	BRZ	pos
010130	BRZ	pos
013175	凯美瑞	neg
027002	吉普车	neu
022433	大众	neg
023185	途锐	pos
011644	中华	pos
000349	小海	pos
024951	途观	pos
006840	途观	neu
026160	大众朗逸	neu
018953	歌诗图	pos
014684	IS	neg
001021	凌志	pos
001021	IS	neg
024358	夏利	neg
024839	夏利	pos
021145	X60	pos
001263	君威	neu
024669	君威	neu
012707	S5	pos
006207	克莱斯勒300C	pos
006207	奥迪	neg
021741	V2	pos
019228	V2	pos
001019	奥迪	pos
017827	空间	neg
017827	F0	neg
007341	mini	pos
018631	五菱	neu
018631	风光	neu
013791	吉利帝豪EC7	neu
019340	五菱荣光	neg
001959	伊兰特	pos
016136	QQ6	pos
011313	QQ613	pos
004784	五菱小卡	neu
010149	沃尔沃	neg
001661	标致	pos
021672	智跑	pos
027393	宝马	pos
011717	宝马	pos
009049	五菱之光	neg
011447	五菱	pos
025921	众泰	pos
009456	玛莎	pos
018877	玛莎	pos
018877	保时捷911	pos
007003	法拉利	pos
027684	mini	pos
027684	countryman	pos
015123	玛莎拉蒂GT	pos
022693	朗逸	pos
007212	宝斯通	pos
014674	Q3	pos
019151	夏利	pos
025365	别克英朗	neu
014828	小夏	neg
000194	路感	pos
020596	麦弗逊	neg
011827	英朗	neu
023209	伊兰特	pos
023989	伊兰特	pos
013116	伊兰特	pos
013116	捷达	neu
013116	爱丽舍	neu
021747	伊兰特	neg
014096	五菱	pos
003788	哈弗	neg
006137	英朗GT	neu
006137	英朗	neu
006206	风骏	pos
001922	锋驭	pos
014154	锋驭	pos
005993	普力马	neg
010750	T200	pos
006059	汉兰达	pos
015018	凌渡	pos
008965	英朗GT	neu
008965	英朗	neu
009102	英朗	pos
023252	英朗	pos
009011	天籁	neu
009011	东风日产	neu
011215	凌渡	neu
011215	Lamando	neu
010670	上汽通用	neu
010670	迈锐宝	neu
010670	君威	neu
009166	雅阁	neu
009166	天籁	neu
009166	迈腾	neu
012073	雅阁	neu
003770	荣威	neu
000281	上汽新能源	neu
004297	荣威e950	pos
019462	上汽荣威	neu
002980	甲壳虫	neu
002980	Kombi九座面包车	neu
010601	朗逸	neu
012536	凌渡GTS	neu
003445	别克未来	neu
017167	别克	neu
013438	长安汽车	neu
020648	长安	neu
006483	长安	neu
003502	长安	neu
004465	雅阁	neg
004465	速派	pos
024748	长安	neu
022891	长安汽车	neu
022891	上汽通用五菱	neu
022891	上汽通用	neu
022891	大众	neu
014314	长安CS75	neu
014314	长安CS35	neu
024042	长安	neg
024042	逸动	neg
008976	桑塔纳	neu
008976	捷达	neu
026891	致尚	neu
026891	逸动	neu
026891	逸动	neu
026566	长安	neu
004292	CS95	neu
004292	CS75	neu
006490	悦翔V7	neu
006490	逸动	neu
006490	CS75	neu
006490	CS35	neu
006490	CS15	neu
001157	雅阁	neu
001157	速派	neu
008669	长安	neu
008669	V50	neu
026532	长安汽车	neu
023233	长安	neu
004522	比亚迪	neu
021229	夏利	neu
021229	桑塔纳	neu
000825	标致	neu
026475	丰田卡罗拉	pos
015135	朗逸	pos
005111	大众	pos
002567	速腾	neu
014276	速腾	neu
004648	卡罗拉	pos
019265	雅阁	pos
019265	速派	pos
026337	大众	neu
026317	卡罗拉	neu
003016	东风标致308	neu
007084	朗逸	neu
007084	宝来	neu
007084	308	pos
008147	308	pos
024067	东风标致308	pos
017132	308	pos
028168	桑塔纳	neu
028168	奔弛	neu
013033	朗逸	neg
013033	308	pos
010818	奇瑞风云2	neu
005932	桑塔纳	neu
009061	桑塔纳	neu
004789	桑塔纳	neg
009243	帝豪GS	pos
010134	奔驰迈巴赫	pos
008677	凯越	neu
014929	斯柯达	pos
010346	凯越	pos
001962	凯越	pos
024137	凯越	neu
022410	凯越	neu
019024	迈腾	neu
003686	瑞麒	neg
020501	三菱蓝瑟	neg
001223	凯越	neg
022881	现代索那塔	neg
006864	DS 4S	neu
020014	斯柯达	pos
020014	明锐	pos
011824	凌渡	pos
013095	凌渡	pos
025771	威朗	neu
003521	威朗	pos
017965	逸动	pos
017965	帝豪	neu
005044	本田	neu
022516	迈腾B8	neu
022516	迈腾	pos
025054	广汽本田	neu
025054	东风本田	neu
023509	东风本田	neu
023509	本田	neu
008103	途胜	neg
008103	名图	neg
008103	领动	neg
008103	朗动	neg
000265	宝骏560	neu
000265	昂科威	neu
000265	CR-V	pos
003130	轩逸	neg
013071	英朗	pos
005943	英朗	neu
005943	雷凌	neu
005943	福睿斯	neu
013115	宝来	pos
011199	朗动	neg
017022	福克斯	neg
014447	福克斯	neu
016621	福克斯	neu
006796	福克斯	neu
008803	LAVIDA朗逸	pos
027822	卡罗拉	neu
023772	卡罗拉	pos
018722	卡罗拉	neg
009667	斯柯达昕动	neu
025646	斯柯达昕动	neu
001903	东风标致新308	pos
001653	本田	pos
016623	飞度	pos
024589	三飞	neg
024589	标标301	pos
024589	北京现代悦动	pos
004374	桑塔纳	neu
004374	奔弛	neu
002236	MG5	pos
000205	A7	neg
022211	RS5	pos
018577	奥迪	neg
026630	a4L	pos
026630	a3	pos
009232	宝马5系	neg
009232	A6L	pos
015960	凯迪拉克	pos
015960	宝马3系	pos
