做工 v N
不好 d N
， x N
广汽三菱 x N
可能 v N
用 p N
的 uj N
长丰 ns N
的 uj N
生产线 n N
， x N
流水 n N
工人 n N
都 d N
没换 v N
， x N
把 p N
长丰 ns N
的 uj N
工艺 n N
带到 v N
了 ul N
劲炫 x Y
身上 s N
， x N
接缝 v N
很大 a N
且 c N
不 d N
均匀 a N
。 x N
作为 v N
一台 m N
越野车 nt N
， x N
后备箱 n N
还 d N
不如 c N
两厢 n N
轿车 n N
大 a N
， x N
确实 ad N
是 v N
有点 n N
不 d N
合格 n N
， x N
且 c N
不 d N
规整 vn N
。 x N
后排 vn N
座椅 n N
过于 v N
平直 a N
， x N
短途 b N
乘坐 v N
没有 v N
问题 n N
， x N
但是 c N
跑 v N
长途 d N
肯定 v N
真心 d N
累 a N
。 x N
横滨 ns N
轮胎 n N
胎噪大 nz N
， x N
轮胎 n N
硬 a N
。 x N
悬挂 v N
偏 d N
硬 a N
， x N
这点 mq N
不如 c N
逍客 x Y
， x N
过个 t N
沟沟坎坎 n N
的 uj N
屁股 n N
疼 v N
。 x N

空间 n N
的 uj N
表现 v N
， x N
我 r N
基本 n N
是 v N
满意 v N
的 uj N
， x N
在 p N
同级 b N
同价位 n N
车里 s N
目前 t N
貌似 v N
只有 c N
艾瑞泽 x Y
的 uj N
空间 n N
比 p N
GA3 x Y
好了吧 l N
（ x N
比 p N
同事 n N
的 uj N
宝 n N
来 v N
空间 n N
大 a N
） x N
， x N
而且 c N
艾瑞泽 x Y
还 d N
很贵 a N
。 x N
剩下 v N
A eng N
级 q N
车里 s N
就是 d N
C4L x Y
、 x N
408 x Y
、 x N
英朗 x Y
、 x N
速腾 x Y
这个 r N
价位 n N
的 uj N
车比 j N
GA3 x Y
好 a N
了 ul N
， x N
但是 c N
都 d N
不 d N
便宜 a N
啊 zg N
。 x N
这个 r N
车 zg N
后排 vn N
坐 v N
3 m N
个人 n N
不会 v N
很 zg N
拥挤 v N
（ x N
只要 c N
3 x N
个人 n N
别 d N
都 d N
是 v N
胖子 n N
） x N

很 zg N
满意 v N
了 ul N
， x N
这 r N
也 d N
是 v N
该车 r N
最大 a N
的 uj N
卖点 n N
了 ul N
， x N
虽然 c N
比不上 l N
马自达6 x Y
， x N
但是 c N
要 v N
比 p N
。 x N
。 x N
。 x N

完美 a N
的 uj N
操控性 n N
， x N
底盘 n N
调教 nz N
很 d N
好 a N
， x N
指向 n N
明显 a N
， x N
操作 v N
度 q N
很 d N
高 a N
。 x N
城市 ns N
里面 f N
小转弯 n N
， x N
小 a N
掉头 v N
就 d N
不 d N
说 v N
了 ul N
， x N
一把 m N
方 n N
向 p N
拿下 v N
。 x N
高速 d N
上 f N
也 d N
没 v N
问题 n N
， x N
C2 x Y
整体 n N
悬挂 v N
偏 d N
硬 a N
， x N
比较 d N
适合 v N
过 ug N
弯 v N
。 x N

比照 p N
下来 t N
, x N
奔驰 v Y
的 uj N
车内 s N
设计 vn N
和 c N
内饰 n N
精致 a N
程度 n N
及 c N
驾驶 v N
感受 v N
最 d N
能够 v N
达到 v N
自己 r N
的 uj N
预期 vn N
和 c N
要求 v N
. x N
当然 d N
, x N
这 r N
里面 f N
包含 v N
了 ul N
较多 a N
的 uj N
个人 n N
主观 n N
判断 v N
因素 n N
. x N

不是 c N
一般 a N
的 uj N
大 n N
， x N
总之 c N
我 r N
觉得 v N
应该 v N
是 v N
这个 r N
价位 n N
里面 f N
最大 a N
的 uj N
了 ul N
， x N
我 r N
同事 n N
是 v N
新 a N
福克斯 nr Y
， x N
坐 v N
我 r N
后排 vn N
时 n N
非常 d N
惊讶 a N
， x N
居然 d N
轴距 n N
比新 d N
福克斯 nr Y
短 a N
， x N
空间 n N
却 d N
比新 d N
福克斯 nr N
的 uj N
大 n N
， x N
而且 c N
后备箱 n N
空间 n N
也 d N
特别 d N
大 a N
， x N
以后 f N
会 v N
老家 n N
可以 c N
拉 v N
好多 m N
蔬菜 n N
过来 t N
了 ul N
， x N
呵呵 v N

翼搏 x Y
的 uj N
前后 f N
乘坐 v N
空间 n N
是 v N
这个 r N
级别 n N
里 f N
比较突出 n N
的 uj N
， x N
横向 v N
空间 n N
略逊一筹 l N
。 x N
后备箱 n N
空间 n N
确实 ad N
有点 n N
给 p N
空间 n N
减分 v N
， x N
尤其 d N
是 v N
纵向 v N
。 x N
后排 vn N
座椅 n N
不能 v N
放平 nrfg N
， x N
的确 d N
给 p N
使用 v N
空间 n N
减分 v N
。 x N

操控 v N
很 zg N
精准 n N
， x N
没有 v N
平常 a N
家用车 n N
的 uj N
那种 r N
虚位 n N
， x N
过弯 v N
给 p N
人 n N
的 uj N
信心十足 i N
， x N
以前 f N
开 v N
K5 x Y
过 ug N
弯 v N
速度 n N
快 a N
一点 m N
就 d N
感觉 n N
车 zg N
快要 d N
失控 vn N
了 ul N
， x N
现在 t N
开 v N
BRZ x Y
过 ug N
弯 v N
直接 ad N
没有 v N
那种 r N
感觉 n N

提速 v N
不错 a N
， x N
